Token,PoS
GUTENBERG,PROPN
MOBY,PROPN
DICK,PROPN
WHALE,PROPN
Herman,PROPN
Melville,PROPN
ETYMOLOGY,PROPN
Sub,PROPN
Librarian,PROPN
CHAPTER,PROPN
CHAPTER,PROPN
Carpet,PROPN
Bag,PROPN
CHAPTER,PROPN
Spouter,PROPN
Inn,PROPN
CHAPTER,PROPN
Counterpane,PROPN
CHAPTER,PROPN
CHAPTER,PROPN
Street,PROPN
CHAPTER,PROPN
Chapel,PROPN
CHAPTER,PROPN
Pulpit,PROPN
CHAPTER,PROPN
Sermon,PROPN
CHAPTER,PROPN
Bosom,PROPN
Friend,PROPN
CHAPTER,PROPN
Nightgown,PROPN
CHAPTER,PROPN
CHAPTER,PROPN
CHAPTER,PROPN
Nantucket,PROPN
CHAPTER,PROPN
Chowder,PROPN
CHAPTER,PROPN
Ship,PROPN
CHAPTER,PROPN
Ramadan,PROPN
CHAPTER,PROPN
Mark,PROPN
CHAPTER,PROPN
Prophet,PROPN
CHAPTER,PROPN
Astir,PROPN
CHAPTER,PROPN
Aboard,PROPN
CHAPTER,PROPN
Merry,PROPN
Christmas,PROPN
CHAPTER,PROPN
Lee,PROPN
Shore,PROPN
CHAPTER,PROPN
Advocate,PROPN
CHAPTER,PROPN
Postscript,PROPN
CHAPTER,PROPN
Knights,PROPN
Squires,PROPN
CHAPTER,PROPN
Knights,PROPN
Squires,PROPN
CHAPTER,PROPN
Ahab,PROPN
CHAPTER,PROPN
Ahab,PROPN
Stubb,PROPN
CHAPTER,PROPN
Pipe,PROPN
CHAPTER,PROPN
Queen,PROPN
Mab,PROPN
CHAPTER,PROPN
CHAPTER,PROPN
Specksnyder,PROPN
CHAPTER,PROPN
Cabin,PROPN
Table,PROPN
CHAPTER,PROPN
Mast,PROPN
Head,PROPN
CHAPTER,PROPN
Quarter,PROPN
Deck,PROPN
CHAPTER,PROPN
CHAPTER,PROPN
Dusk,PROPN
CHAPTER,PROPN
First,PROPN
Night,PROPN
Watch,PROPN
CHAPTER,PROPN
Midnight,PROPN
Forecastle,PROPN
CHAPTER,PROPN
Moby,PROPN
Dick,PROPN
CHAPTER,PROPN
Whiteness,PROPN
Whale,PROPN
CHAPTER,PROPN
Hark,PROPN
!,PROPN
CHAPTER,PROPN
Chart,PROPN
CHAPTER,PROPN
Affidavit,PROPN
CHAPTER,PROPN
CHAPTER,PROPN
Mat,PROPN
Maker,PROPN
CHAPTER,PROPN
First,PROPN
Lowering,PROPN
CHAPTER,PROPN
Hyena,PROPN
CHAPTER,PROPN
Ahab,PROPN
Boat,PROPN
Crew,PROPN
CHAPTER,PROPN
Spirit,PROPN
Spout,PROPN
CHAPTER,PROPN
Albatross,PROPN
CHAPTER,PROPN
Gam,PROPN
CHAPTER,PROPN
Town,PROPN
Ho,PROPN
’s,PROPN
Story,PROPN
CHAPTER,PROPN
Monstrous,PROPN
Pictures,PROPN
Whales,PROPN
CHAPTER,PROPN
Pictures,PROPN
Whales,PROPN
Scenes,PROPN
CHAPTER,PROPN
Whales,PROPN
Paint,PROPN
Teeth,PROPN
Wood,PROPN
Sheet,PROPN
Iron,PROPN
Stone,PROPN
Mountains,PROPN
CHAPTER,PROPN
Brit,PROPN
CHAPTER,PROPN
Squid,PROPN
CHAPTER,PROPN
CHAPTER,PROPN
Stubb,PROPN
Whale,PROPN
CHAPTER,PROPN
Dart,PROPN
CHAPTER,PROPN
Crotch,PROPN
CHAPTER,PROPN
Stubb,PROPN
Supper,PROPN
CHAPTER,PROPN
Whale,PROPN
Dish,PROPN
CHAPTER,PROPN
Shark,PROPN
Massacre,PROPN
CHAPTER,PROPN
In,PROPN
CHAPTER,PROPN
Blanket,PROPN
CHAPTER,PROPN
Funeral,PROPN
CHAPTER,PROPN
Sphynx,PROPN
CHAPTER,PROPN
Jeroboam,PROPN
Story,PROPN
CHAPTER,PROPN
Monkey,PROPN
Rope,PROPN
CHAPTER,PROPN
Stubb,PROPN
Flask,PROPN
Whale,PROPN
CHAPTER,PROPN
Sperm,PROPN
Whale,PROPN
Head,PROPN
View,PROPN
CHAPTER,PROPN
Right,PROPN
Whale,PROPN
Head,PROPN
View,PROPN
CHAPTER,PROPN
Battering,PROPN
Ram,PROPN
CHAPTER,PROPN
Great,PROPN
Heidelburgh,PROPN
Tun,PROPN
CHAPTER,PROPN
Cistern,PROPN
CHAPTER,PROPN
Prairie,PROPN
CHAPTER,PROPN
Nut,PROPN
CHAPTER,PROPN
Pequod,PROPN
Virgin,PROPN
CHAPTER,PROPN
Honor,PROPN
Glory,PROPN
Whaling,PROPN
CHAPTER,PROPN
Jonah,PROPN
Historically,PROPN
Regarded,PROPN
CHAPTER,PROPN
CHAPTER,PROPN
Fountain,PROPN
CHAPTER,PROPN
Tail,PROPN
CHAPTER,PROPN
Grand,PROPN
Armada,PROPN
CHAPTER,PROPN
Schoolmasters,PROPN
CHAPTER,PROPN
Loose,PROPN
Fish,PROPN
CHAPTER,PROPN
Tails,PROPN
CHAPTER,PROPN
Pequod,PROPN
Rose,PROPN
Bud,PROPN
.,PROPN
CHAPTER,PROPN
Ambergris,PROPN
CHAPTER,PROPN
Castaway,PROPN
CHAPTER,PROPN
Hand,PROPN
CHAPTER,PROPN
Cassock,PROPN
CHAPTER,PROPN
Try,PROPN
Works,PROPN
CHAPTER,PROPN
Lamp,PROPN
CHAPTER,PROPN
Clearing,PROPN
Up,PROPN
CHAPTER,PROPN
Doubloon,PROPN
CHAPTER,PROPN
Leg,PROPN
Arm,PROPN
CHAPTER,PROPN
Decanter,PROPN
CHAPTER,PROPN
Arsacides,PROPN
CHAPTER,PROPN
Measurement,PROPN
Whale,PROPN
Skeleton,PROPN
CHAPTER,PROPN
Fossil,PROPN
Whale,PROPN
CHAPTER,PROPN
Whale,PROPN
Perish,PROPN
CHAPTER,PROPN
Ahab,PROPN
Leg,PROPN
CHAPTER,PROPN
Carpenter,PROPN
CHAPTER,PROPN
Ahab,PROPN
Carpenter,PROPN
CHAPTER,PROPN
Ahab,PROPN
Starbuck,PROPN
Cabin,PROPN
CHAPTER,PROPN
Queequeg,PROPN
CHAPTER,PROPN
Pacific,PROPN
CHAPTER,PROPN
Blacksmith,PROPN
CHAPTER,PROPN
Forge,PROPN
CHAPTER,PROPN
Gilder,PROPN
CHAPTER,PROPN
Pequod,PROPN
Bachelor,PROPN
CHAPTER,PROPN
Dying,PROPN
Whale,PROPN
CHAPTER,PROPN
Whale,PROPN
Watch,PROPN
CHAPTER,PROPN
Quadrant,PROPN
CHAPTER,PROPN
CHAPTER,PROPN
Deck,PROPN
First,PROPN
Night,PROPN
Watch,PROPN
CHAPTER,PROPN
Forecastle,PROPN
Bulwarks,PROPN
CHAPTER,PROPN
Aloft.—Thunder,PROPN
Lightning,PROPN
CHAPTER,PROPN
Musket,PROPN
CHAPTER,PROPN
Needle,PROPN
CHAPTER,PROPN
Log,PROPN
CHAPTER,PROPN
Life,PROPN
Buoy,PROPN
CHAPTER,PROPN
Deck,PROPN
CHAPTER,PROPN
Pequod,PROPN
Rachel,PROPN
CHAPTER,PROPN
Cabin,PROPN
CHAPTER,PROPN
Hat,PROPN
CHAPTER,PROPN
Pequod,PROPN
Delight,PROPN
CHAPTER,PROPN
Symphony,PROPN
CHAPTER,PROPN
Chase,PROPN
First,PROPN
Day,PROPN
CHAPTER,PROPN
Chase,PROPN
Second,PROPN
Day,PROPN
CHAPTER,PROPN
Day,PROPN
Original,PROPN
Transcriber,PROPN
ERIS,PROPN
Virginia,PROPN
Tech,PROPN
Project,PROPN
